d3mIndex,image,bounding_box
13,2016-10-03__12-02-47-591.jpg,"2180,2515,2180,2815,2423,2815,2423,2515"
14,2016-10-04__11-26-56-882.jpg,"1269,1015,1269,1158,1384,1158,1384,1015"
14,2016-10-04__11-26-56-882.jpg,"1641,801,1641,937,1777,937,1777,801"
14,2016-10-04__11-26-56-882.jpg,"1580,1244,1580,1405,1762,1405,1762,1244"
14,2016-10-04__11-26-56-882.jpg,"1487,1444,1487,1662,1605,1662,1605,1444"
14,2016-10-04__11-26-56-882.jpg,"1512,2569,1512,2726,1652,2726,1652,2569"
14,2016-10-04__11-26-56-882.jpg,"1394,2937,1394,3101,1466,3101,1466,2937"
14,2016-10-04__11-26-56-882.jpg,"1277,2994,1277,3115,1369,3115,1369,2994"
14,2016-10-04__11-26-56-882.jpg,"1623,3187,1623,3296,1722,3296,1722,3187"
15,2016-10-04__12-00-20-842.jpg,"387,183,387,369,519,369,519,183"
15,2016-10-04__12-00-20-842.jpg,"2,1433,2,1555,198,1555,198,1433"
15,2016-10-04__12-00-20-842.jpg,"16,2469,16,2765,312,2765,312,2469"
15,2016-10-04__12-00-20-842.jpg,"527,2894,527,3244,755,3244,755,2894"
15,2016-10-04__12-00-20-842.jpg,"2084,2855,2084,3090,2284,3090,2284,2855"
15,2016-10-04__12-00-20-842.jpg,"2112,2665,2112,2865,2352,2865,2352,2665"
15,2016-10-04__12-00-20-842.jpg,"644,1076,644,1155,741,1155,741,1076"
15,2016-10-04__12-00-20-842.jpg,"2205,12,2205,183,2455,183,2455,12"
15,2016-10-04__12-00-20-842.jpg,"830,2415,830,2508,898,2508,898,2415"
15,2016-10-04__12-00-20-842.jpg,"2173,2215,2173,2340,2305,2340,2305,2215"
16,2016-10-05__10-52-26-539.jpg,"1037,1348,1037,1544,1194,1544,1194,1348"
16,2016-10-05__10-52-26-539.jpg,"1130,1023,1130,1158,1269,1158,1269,1023"
16,2016-10-05__10-52-26-539.jpg,"494,1398,494,1576,734,1576,734,1398"
16,2016-10-05__10-52-26-539.jpg,"927,1912,927,2094,1094,2094,1094,1912"
16,2016-10-05__10-52-26-539.jpg,"1098,2980,1098,3255,1298,3255,1298,2980"
17,2016-10-05__11-08-31-247.jpg,"212,1123,212,1287,366,1287,366,1123"
17,2016-10-05__11-08-31-247.jpg,"2005,1680,2005,1858,2184,1858,2184,1680"
18,2016-10-05__11-19-30-252.jpg,"1416,601,1416,865,1627,865,1627,601"
18,2016-10-05__11-19-30-252.jpg,"1498,1283,1498,1433,1666,1433,1666,1283"
18,2016-10-05__11-19-30-252.jpg,"1941,1205,1941,1340,2137,1340,2137,1205"
18,2016-10-05__11-19-30-252.jpg,"1280,2362,1280,2583,1491,2583,1491,2362"
18,2016-10-05__11-19-30-252.jpg,"1530,2226,1530,2448,1705,2448,1705,2226"
18,2016-10-05__11-19-30-252.jpg,"1169,3051,1169,3296,1386,3296,1386,3051"
19,2016-10-05__11-24-06-598.jpg,"16,983,16,1065,98,1065,98,983"
19,2016-10-05__11-24-06-598.jpg,"1952,715,1952,837,2102,837,2102,715"
19,2016-10-05__11-24-06-598.jpg,"2002,1405,2002,1580,2134,1580,2134,1405"
19,2016-10-05__11-24-06-598.jpg,"127,2090,127,2180,205,2180,205,2090"
20,2016-10-05__13-26-02-914.jpg,"869,194,869,419,1041,419,1041,194"
20,2016-10-05__13-26-02-914.jpg,"730,387,730,483,812,483,812,387"
20,2016-10-05__13-26-02-914.jpg,"1023,455,1023,615,1180,615,1180,455"
20,2016-10-05__13-26-02-914.jpg,"962,705,962,851,1109,851,1109,705"
20,2016-10-05__13-26-02-914.jpg,"952,990,952,1158,1127,1158,1127,990"
20,2016-10-05__13-26-02-914.jpg,"977,1319,977,1480,1134,1480,1134,1319"
20,2016-10-05__13-26-02-914.jpg,"677,1369,677,1523,834,1523,834,1369"
20,2016-10-05__13-26-02-914.jpg,"730,1783,730,1919,891,1919,891,1783"
20,2016-10-05__13-26-02-914.jpg,"987,2587,987,2783,1137,2783,1137,2587"
20,2016-10-05__13-26-02-914.jpg,"980,2808,980,2983,1166,2983,1166,2808"
20,2016-10-05__13-26-02-914.jpg,"919,3090,919,3251,1027,3251,1027,3090"
21,2016-10-06__11-30-14-275.jpg,"805,176,805,515,1062,515,1062,176"
21,2016-10-06__11-30-14-275.jpg,"1116,1,1116,144,1327,144,1327,1"
21,2016-10-06__11-30-14-275.jpg,"1369,337,1369,530,1552,530,1552,337"
21,2016-10-06__11-30-14-275.jpg,"1384,65,1384,155,1530,155,1530,65"
21,2016-10-06__11-30-14-275.jpg,"812,580,812,769,1116,769,1116,580"
21,2016-10-06__11-30-14-275.jpg,"1012,815,1012,1015,1198,1015,1198,815"
21,2016-10-06__11-30-14-275.jpg,"1023,1105,1023,1330,1187,1330,1187,1105"
21,2016-10-06__11-30-14-275.jpg,"1173,1498,1173,1840,1373,1840,1373,1498"
21,2016-10-06__11-30-14-275.jpg,"1127,2019,1127,2194,1405,2194,1405,2019"
21,2016-10-06__11-30-14-275.jpg,"655,2158,655,2348,816,2348,816,2158"
21,2016-10-06__11-30-14-275.jpg,"927,2280,927,2483,1048,2483,1048,2280"
21,2016-10-06__11-30-14-275.jpg,"1091,2548,1091,2708,1252,2708,1252,2548"
21,2016-10-06__11-30-14-275.jpg,"2337,744,2337,887,2459,887,2459,744"
22,2016-10-06__11-38-06-750.jpg,"191,1,191,108,391,108,391,1"
22,2016-10-06__11-38-06-750.jpg,"252,108,252,308,394,308,394,108"
22,2016-10-06__11-38-06-750.jpg,"2,701,2,830,109,830,109,701"
22,2016-10-06__11-38-06-750.jpg,"427,1058,427,1244,569,1244,569,1058"
22,2016-10-06__11-38-06-750.jpg,"223,1726,223,1890,387,1890,387,1726"
22,2016-10-06__11-38-06-750.jpg,"487,1626,487,1740,641,1740,641,1626"
22,2016-10-06__11-38-06-750.jpg,"27,1958,27,2098,152,2098,152,1958"
22,2016-10-06__11-38-06-750.jpg,"2,2226,2,2455,119,2455,119,2226"
22,2016-10-06__11-38-06-750.jpg,"16,3133,16,3290,166,3290,166,3133"
22,2016-10-06__11-38-06-750.jpg,"1591,1,1591,126,1730,126,1730,1"
22,2016-10-06__11-38-06-750.jpg,"1966,119,1966,248,2173,248,2173,119"
22,2016-10-06__11-38-06-750.jpg,"2194,19,2194,187,2337,187,2337,19"
22,2016-10-06__11-38-06-750.jpg,"2044,519,2044,655,2184,655,2184,519"
22,2016-10-06__11-38-06-750.jpg,"1637,690,1637,876,1787,876,1787,690"
22,2016-10-06__11-38-06-750.jpg,"1837,955,1837,1123,1977,1123,1977,955"
22,2016-10-06__11-38-06-750.jpg,"2205,948,2205,1087,2366,1087,2366,948"
22,2016-10-06__11-38-06-750.jpg,"1655,1215,1655,1351,1802,1351,1802,1215"
22,2016-10-06__11-38-06-750.jpg,"1969,1298,1969,1515,2198,1515,2198,1298"
22,2016-10-06__11-38-06-750.jpg,"1902,1662,1902,1805,2016,1805,2016,1662"
22,2016-10-06__11-38-06-750.jpg,"1927,1908,1927,2037,2027,2037,2027,1908"
22,2016-10-06__11-38-06-750.jpg,"2173,2369,2173,2533,2266,2533,2266,2369"
22,2016-10-06__11-38-06-750.jpg,"2348,2433,2348,2655,2466,2655,2466,2433"
22,2016-10-06__11-38-06-750.jpg,"1616,2876,1616,3062,1741,3062,1741,2876"
22,2016-10-06__11-38-06-750.jpg,"1819,2862,1819,3065,1941,3065,1941,2862"
22,2016-10-06__11-38-06-750.jpg,"2227,2840,2227,2980,2366,2980,2366,2840"
22,2016-10-06__11-38-06-750.jpg,"1884,3023,1884,3287,2087,3287,2087,3023"
22,2016-10-06__11-38-06-750.jpg,"2,2690,2,2787,105,2787,105,2690"
23,2016-10-07__02-31-19-375.jpg,"805,1726,805,1958,1152,1958,1152,1726"
24,2016-10-07__07-49-09-159.jpg,"2,1308,2,1512,98,1512,98,1308"
24,2016-10-07__07-49-09-159.jpg,"62,3019,62,3162,162,3162,162,3019"
25,2016-10-07__11-48-43-420.jpg,"73,248,73,669,416,669,416,248"
25,2016-10-07__11-48-43-420.jpg,"1109,826,1109,1115,1462,1115,1462,826"
25,2016-10-07__11-48-43-420.jpg,"680,1698,680,2026,994,2026,994,1698"
25,2016-10-07__11-48-43-420.jpg,"452,2708,452,3119,809,3119,809,2708"
25,2016-10-07__11-48-43-420.jpg,"209,2258,209,2519,434,2519,434,2258"
26,2016-10-07__12-55-14-096.jpg,"1366,1051,1366,1362,1666,1362,1666,1051"
26,2016-10-07__12-55-14-096.jpg,"2105,2126,2105,2365,2441,2365,2441,2126"
26,2016-10-07__12-55-14-096.jpg,"1655,2255,1655,2537,1959,2537,1959,2255"
26,2016-10-07__12-55-14-096.jpg,"1480,2919,1480,3237,1769,3237,1769,2919"
26,2016-10-07__12-55-14-096.jpg,"1323,1730,1323,1912,1541,1912,1541,1730"
26,2016-10-07__12-55-14-096.jpg,"1209,8,1209,148,1437,148,1437,8"
26,2016-10-07__12-55-14-096.jpg,"2227,1301,2227,1558,2462,1558,2462,1301"
26,2016-10-07__12-55-14-096.jpg,"2059,801,2059,955,2405,955,2405,801"
26,2016-10-07__12-55-14-096.jpg,"998,2526,998,2787,1237,2787,1237,2526"
27,2016-10-08__10-20-35-019.jpg,"1705,565,1705,855,1891,855,1891,565"
27,2016-10-08__10-20-35-019.jpg,"1944,1123,1944,1290,2098,1290,2098,1123"
27,2016-10-08__10-20-35-019.jpg,"2123,1187,2123,1280,2316,1280,2316,1187"
27,2016-10-08__10-20-35-019.jpg,"1787,1873,1787,2101,1994,2101,1994,1873"
27,2016-10-08__10-20-35-019.jpg,"2009,2451,2009,2701,2166,2701,2166,2451"
27,2016-10-08__10-20-35-019.jpg,"234,2733,234,2840,344,2840,344,2733"
27,2016-10-08__10-20-35-019.jpg,"2,2865,2,3055,116,3055,116,2865"
27,2016-10-08__10-20-35-019.jpg,"237,2433,237,2515,291,2515,291,2433"
27,2016-10-08__10-20-35-019.jpg,"234,1019,234,1087,323,1087,323,1019"
27,2016-10-08__10-20-35-019.jpg,"2127,355,2127,430,2219,430,2219,355"
27,2016-10-08__10-20-35-019.jpg,"305,83,305,215,366,215,366,83"
27,2016-10-08__10-20-35-019.jpg,"137,126,137,351,280,351,280,126"
28,2016-10-08__10-36-38-900.jpg,"1594,5,1594,148,1891,148,1891,5"
28,2016-10-08__10-36-38-900.jpg,"1469,444,1469,737,1730,737,1730,444"
28,2016-10-08__10-36-38-900.jpg,"1337,548,1337,662,1459,662,1459,548"
28,2016-10-08__10-36-38-900.jpg,"1984,383,1984,630,2173,630,2173,383"
28,2016-10-08__10-36-38-900.jpg,"902,765,902,944,1162,944,1162,765"
28,2016-10-08__10-36-38-900.jpg,"1966,980,1966,1283,2166,1283,2166,980"
28,2016-10-08__10-36-38-900.jpg,"1412,1026,1412,1355,1666,1355,1666,1026"
28,2016-10-08__10-36-38-900.jpg,"1769,1726,1769,2022,2037,2022,2037,1726"
28,2016-10-08__10-36-38-900.jpg,"1441,2022,1441,2276,1612,2276,1612,2022"
28,2016-10-08__10-36-38-900.jpg,"1309,2333,1309,2483,1430,2483,1430,2333"
28,2016-10-08__10-36-38-900.jpg,"1602,2573,1602,2801,1759,2801,1759,2573"
28,2016-10-08__10-36-38-900.jpg,"1527,3083,1527,3190,1594,3190,1594,3083"
29,2016-10-08__10-48-44-591.jpg,"1255,162,1255,383,1444,383,1444,162"
29,2016-10-08__10-48-44-591.jpg,"1212,365,1212,562,1362,562,1362,365"
29,2016-10-08__10-48-44-591.jpg,"1394,480,1394,694,1602,694,1602,480"
29,2016-10-08__10-48-44-591.jpg,"1766,169,1766,358,1973,358,1973,169"
29,2016-10-08__10-48-44-591.jpg,"1212,633,1212,880,1377,880,1377,633"
29,2016-10-08__10-48-44-591.jpg,"1502,1051,1502,1230,1698,1230,1698,1051"
29,2016-10-08__10-48-44-591.jpg,"1205,1344,1205,1533,1380,1533,1380,1344"
29,2016-10-08__10-48-44-591.jpg,"1044,1540,1044,1762,1277,1762,1277,1540"
29,2016-10-08__10-48-44-591.jpg,"1398,1776,1398,1994,1634,1994,1634,1776"
29,2016-10-08__10-48-44-591.jpg,"1491,2173,1491,2373,1677,2373,1677,2173"
29,2016-10-08__10-48-44-591.jpg,"1398,2398,1398,2637,1587,2637,1587,2398"
29,2016-10-08__10-48-44-591.jpg,"1616,2630,1616,2862,1877,2862,1877,2630"
29,2016-10-08__10-48-44-591.jpg,"1427,2787,1427,2983,1612,2983,1612,2787"
29,2016-10-08__10-48-44-591.jpg,"1012,2962,1012,3294,1273,3294,1273,2962"
29,2016-10-08__10-48-44-591.jpg,"1502,3030,1502,3283,1741,3283,1741,3030"
30,2016-10-08__10-50-44-022.jpg,"505,612,505,826,712,826,712,612"
30,2016-10-08__10-50-44-022.jpg,"766,440,766,562,887,562,887,440"
30,2016-10-08__10-50-44-022.jpg,"430,1008,430,1201,673,1201,673,1008"
30,2016-10-08__10-50-44-022.jpg,"723,2101,723,2287,898,2287,898,2101"
30,2016-10-08__10-50-44-022.jpg,"419,2480,419,2573,594,2573,594,2480"
30,2016-10-08__10-50-44-022.jpg,"394,2808,394,2990,662,2990,662,2808"
30,2016-10-08__10-50-44-022.jpg,"259,3055,259,3287,441,3287,441,3055"
30,2016-10-08__10-50-44-022.jpg,"1073,2833,1073,3090,1244,3090,1244,2833"
30,2016-10-08__10-50-44-022.jpg,"2405,762,2405,948,2469,948,2469,762"
30,2016-10-08__10-50-44-022.jpg,"255,1198,255,1269,391,1269,391,1198"
30,2016-10-08__10-50-44-022.jpg,"248,1998,248,2055,373,2055,373,1998"
31,2016-10-08__10-53-30-602.jpg,"255,48,255,258,444,258,444,48"
31,2016-10-08__10-53-30-602.jpg,"55,240,55,469,262,469,262,240"
31,2016-10-08__10-53-30-602.jpg,"237,1201,237,1358,409,1358,409,1201"
31,2016-10-08__10-53-30-602.jpg,"548,858,548,990,627,990,627,858"
31,2016-10-08__10-53-30-602.jpg,"173,1962,173,2137,369,2137,369,1962"
31,2016-10-08__10-53-30-602.jpg,"41,2537,41,2733,284,2733,284,2537"
31,2016-10-08__10-53-30-602.jpg,"137,2887,137,3033,227,3033,227,2887"
31,2016-10-08__10-53-30-602.jpg,"262,2926,262,3115,416,3115,416,2926"
31,2016-10-08__10-53-30-602.jpg,"1712,573,1712,740,1844,740,1844,573"
31,2016-10-08__10-53-30-602.jpg,"2169,80,2169,276,2352,276,2352,80"
31,2016-10-08__10-53-30-602.jpg,"2144,351,2144,637,2355,637,2355,351"
31,2016-10-08__10-53-30-602.jpg,"1977,944,1977,1151,2130,1151,2130,944"
31,2016-10-08__10-53-30-602.jpg,"2284,765,2284,974,2472,974,2472,765"
31,2016-10-08__10-53-30-602.jpg,"2237,1130,2237,1262,2377,1262,2377,1130"
31,2016-10-08__10-53-30-602.jpg,"2202,1365,2202,1494,2369,1494,2369,1365"
31,2016-10-08__10-53-30-602.jpg,"1873,1240,1873,1337,1941,1337,1941,1240"
31,2016-10-08__10-53-30-602.jpg,"2180,1740,2180,1912,2412,1912,2412,1740"
31,2016-10-08__10-53-30-602.jpg,"1952,1923,1952,2083,2137,2083,2137,1923"
31,2016-10-08__10-53-30-602.jpg,"2327,2108,2327,2264,2472,2264,2472,2108"
31,2016-10-08__10-53-30-602.jpg,"2016,2348,2016,2669,2248,2669,2248,2348"
31,2016-10-08__10-53-30-602.jpg,"1680,2773,1680,2944,1809,2944,1809,2773"
31,2016-10-08__10-53-30-602.jpg,"2177,2930,2177,3190,2409,3190,2409,2930"
32,2016-10-10__11-20-33-258.jpg,"2,2526,2,2737,94,2737,94,2526"
32,2016-10-10__11-20-33-258.jpg,"1805,2655,1805,2887,1980,2887,1980,2655"
32,2016-10-10__11-20-33-258.jpg,"1848,2537,1848,2769,2037,2769,2037,2537"
32,2016-10-10__11-20-33-258.jpg,"1687,2051,1687,2290,2066,2290,2066,2051"
32,2016-10-10__11-20-33-258.jpg,"1491,1662,1491,1908,1787,1908,1787,1662"
32,2016-10-10__11-20-33-258.jpg,"1848,1458,1848,1576,1919,1576,1919,1458"
32,2016-10-10__11-20-33-258.jpg,"1530,855,1530,1048,1752,1048,1752,855"
32,2016-10-10__11-20-33-258.jpg,"1948,426,1948,644,2237,644,2237,426"
32,2016-10-10__11-20-33-258.jpg,"2016,183,2016,412,2302,412,2302,183"
32,2016-10-10__11-20-33-258.jpg,"1512,8,1512,248,1816,248,1816,8"
32,2016-10-10__11-20-33-258.jpg,"1362,169,1362,315,1462,315,1462,169"
33,2016-10-10__12-53-26-975.jpg,"1594,115,1594,276,1694,276,1694,115"
33,2016-10-10__12-53-26-975.jpg,"1580,1780,1580,1948,1716,1948,1716,1780"
33,2016-10-10__12-53-26-975.jpg,"1634,2012,1634,2165,1737,2165,1737,2012"
33,2016-10-10__12-53-26-975.jpg,"1744,1983,1744,2140,1948,2140,1948,1983"
33,2016-10-10__12-53-26-975.jpg,"1594,2644,1594,2823,1687,2823,1687,2644"
33,2016-10-10__12-53-26-975.jpg,"1741,958,1741,1051,1816,1051,1816,958"
33,2016-10-10__12-53-26-975.jpg,"1730,644,1730,723,1823,723,1823,644"
33,2016-10-10__12-53-26-975.jpg,"1334,2044,1334,2126,1412,2126,1412,2044"
34,2016-10-10__13-13-08-501.jpg,"884,1051,884,1201,973,1201,973,1051"
34,2016-10-10__13-13-08-501.jpg,"587,1901,587,1998,759,1998,759,1901"
34,2016-10-10__13-13-08-501.jpg,"1098,1676,1098,1858,1294,1858,1294,1676"
34,2016-10-10__13-13-08-501.jpg,"798,2965,798,3248,959,3248,959,2965"
35,2016-10-10__13-23-34-937.jpg,"1016,1,1016,87,1244,87,1244,1"
35,2016-10-10__13-23-34-937.jpg,"952,340,952,598,1166,598,1166,340"
35,2016-10-10__13-23-34-937.jpg,"784,1430,784,1769,1119,1769,1119,1430"
35,2016-10-10__13-23-34-937.jpg,"584,2019,584,2219,759,2219,759,2019"
35,2016-10-10__13-23-34-937.jpg,"873,1894,873,2287,1134,2287,1134,1894"
35,2016-10-10__13-23-34-937.jpg,"1280,2590,1280,3033,1577,3033,1577,2590"
35,2016-10-10__13-23-34-937.jpg,"694,2698,694,2930,905,2930,905,2698"
35,2016-10-10__13-23-34-937.jpg,"902,1208,902,1290,1030,1290,1030,1208"
36,2016-10-10__14-24-46-307.jpg,"212,33,212,162,391,162,391,33"
36,2016-10-10__14-24-46-307.jpg,"227,498,227,662,427,662,427,498"
36,2016-10-10__14-24-46-307.jpg,"105,562,105,683,248,683,248,562"
36,2016-10-10__14-24-46-307.jpg,"344,958,344,1123,527,1123,527,958"
36,2016-10-10__14-24-46-307.jpg,"419,1098,419,1323,584,1323,584,1098"
36,2016-10-10__14-24-46-307.jpg,"716,1073,716,1144,784,1144,784,1073"
36,2016-10-10__14-24-46-307.jpg,"562,1426,562,1551,634,1551,634,1426"
36,2016-10-10__14-24-46-307.jpg,"477,1630,477,1733,580,1733,580,1630"
36,2016-10-10__14-24-46-307.jpg,"359,1898,359,2008,491,2008,491,1898"
36,2016-10-10__14-24-46-307.jpg,"187,2162,187,2333,355,2333,355,2162"
36,2016-10-10__14-24-46-307.jpg,"180,2390,180,2626,337,2626,337,2390"
36,2016-10-10__14-24-46-307.jpg,"105,2633,105,2762,294,2762,294,2633"
36,2016-10-10__14-24-46-307.jpg,"473,2483,473,2655,637,2655,637,2483"
36,2016-10-10__14-24-46-307.jpg,"294,2687,294,2833,434,2833,434,2687"
36,2016-10-10__14-24-46-307.jpg,"2241,273,2241,426,2348,426,2348,273"
36,2016-10-10__14-24-46-307.jpg,"2055,619,2055,758,2155,758,2155,619"
36,2016-10-10__14-24-46-307.jpg,"2223,708,2223,819,2377,819,2377,708"
36,2016-10-10__14-24-46-307.jpg,"2366,1094,2366,1251,2472,1251,2472,1094"
36,2016-10-10__14-24-46-307.jpg,"2105,1365,2105,1515,2198,1515,2198,1365"
36,2016-10-10__14-24-46-307.jpg,"2202,1662,2202,1837,2341,1837,2341,1662"
36,2016-10-10__14-24-46-307.jpg,"2269,1930,2269,2037,2430,2037,2430,1930"
36,2016-10-10__14-24-46-307.jpg,"2155,2194,2155,2412,2319,2412,2319,2194"
36,2016-10-10__14-24-46-307.jpg,"2180,2715,2180,2998,2384,2998,2384,2715"
36,2016-10-10__14-24-46-307.jpg,"2169,3030,2169,3198,2284,3198,2284,3030"
36,2016-10-10__14-24-46-307.jpg,"559,2998,559,3237,652,3237,652,2998"
36,2016-10-10__14-24-46-307.jpg,"2380,2305,2380,2498,2469,2498,2469,2305"
36,2016-10-10__14-24-46-307.jpg,"573,794,573,905,648,905,648,794"
37,2016-10-11__12-08-36-563.jpg,"319,3123,319,3273,527,3273,527,3123"
37,2016-10-11__12-08-36-563.jpg,"2155,2937,2155,3065,2323,3065,2323,2937"
37,2016-10-11__12-08-36-563.jpg,"691,3187,691,3296,825,3296,825,3187"
38,2016-10-11__12-11-58-755.jpg,"309,3112,309,3273,523,3273,523,3112"
38,2016-10-11__12-11-58-755.jpg,"2123,2933,2123,3069,2323,3069,2323,2933"
39,2016-10-11__12-12-36-004.jpg,"316,3126,316,3276,519,3276,519,3126"
39,2016-10-11__12-12-36-004.jpg,"2130,2933,2130,3069,2319,3069,2319,2933"
